"FileName","TargetIssueFreq","TargetCommitFreq","TargetChurn","ChangeFreq","ChangeChurn","Clique","Crossing","isCenter","ModularityViolation","PackageCycle","UnhealthyInheritance","UnstableInterface","isUnstableInterface"
"examples.src.main.java.org.apache.pdfbox.examples.pdmodel.ShowColorBoxes_java","0","0","0","12","280","0","1","false","7","0","0","7","false"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.font.PDFontTest_java","3","4","266","10","345","0","0","false","1","0","3","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.contentstream.operator.text.BeginText_java","0","0","0","1","6","0","0","false","0","1","0","0","false"
"debugger.src.main.java.org.apache.pdfbox.debugger.flagbitspane.Flag_java","0","0","0","1","2","0","0","false","0","0","1","0","false"
"preflight.src.main.java.org.apache.pdfbox.preflight.process.reflect.FontValidationProcess_java","0","0","0","11","295","1","8","false","3","1","1","16","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.fdf.FDFAnnotationInk_java","0","0","0","7","125","1","3","false","9","0","1","12","false"
"debugger.src.main.java.org.apache.pdfbox.debugger.ui.textsearcher.Searcher_java","0","0","0","3","8","1","0","false","0","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.cos.COSBase_java","0","0","0","8","97","0","12","false","2","4","2","13","true"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDDefaultAppearanceString_java","1","1","29","10","339","1","0","false","0","2","1","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDDestination_java","0","0","0","6","70","1","0","false","1","1","2","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.color.PDSpecialColorSpace_java","0","0","0","1","33","0","0","false","0","0","0","0","false"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.descriptor.CIDType0DescriptorHelper_java","0","0","0","12","335","1","2","false","4","0","1","5","false"
"examples.src.main.java.org.apache.pdfbox.examples.pdmodel.ImageToPDF_java","0","0","0","18","393","0","1","false","8","0","0","7","false"
"xmpbox.src.main.java.org.apache.xmpbox.type.GUIDType_java","0","0","0","2","15","1","3","false","2","1","1","15","false"
"pdfbox.src.main.java.org.apache.pdfbox.filter.CCITTFaxDecoderStream_java","2","3","823","4","841","0","0","false","0","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.ExternalSigningSupport_java","0","0","0","2","44","0","0","false","0","0","0","0","false"
"xmpbox.src.main.java.org.apache.xmpbox.type.BadFieldValueException_java","0","0","0","2","61","0","5","false","2","1","0","15","true"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSeedValueMDP_java","0","0","0","5","127","0","0","false","1","0","1","1","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateBuilder_java","2","3","31","17","919","0","7","false","4","0","0","11","false"
"xmpbox.src.main.java.org.apache.xmpbox.schema.PhotoshopSchema_java","0","0","0","5","1083","1","7","false","2","2","5","15","false"
