IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
Crossing1,111.0,167.0,2946.0,2162.0,83180.0
Crossing2,95.0,150.0,2012.0,1788.0,75661.0
Crossing3,78.0,5.0,109.0,754.0,37450.0
Crossing4,74.0,11.0,171.0,323.0,28987.0
Crossing5,58.0,6.0,65.0,247.0,24041.0
Crossing6,56.0,144.0,3195.0,1127.0,46515.0
Crossing7,53.0,8.0,151.0,247.0,25462.0
Crossing8,49.0,56.0,715.0,748.0,24167.0
Crossing9,46.0,80.0,1190.0,802.0,40268.0
Crossing10,45.0,104.0,1578.0,1367.0,55606.0
Crossing11,44.0,93.0,1507.0,1156.0,48370.0
Crossing12,43.0,12.0,193.0,243.0,25473.0
Crossing13,42.0,8.0,77.0,222.0,22901.0
Crossing14,38.0,149.0,3503.0,1126.0,46403.0
Crossing15,38.0,97.0,1974.0,1024.0,41699.0
Crossing16,35.0,93.0,1154.0,860.0,38042.0
Crossing17,32.0,77.0,1714.0,814.0,33385.0
Crossing18,32.0,3.0,25.0,362.0,17152.0
Crossing19,32.0,69.0,939.0,794.0,36925.0
Crossing20,32.0,60.0,931.0,534.0,21478.0
Crossing21,32.0,10.0,167.0,181.0,21924.0
Crossing22,30.0,11.0,191.0,183.0,16351.0
Crossing23,29.0,70.0,861.0,913.0,33173.0
Crossing24,29.0,55.0,810.0,912.0,39150.0
Crossing25,28.0,48.0,460.0,605.0,27400.0
Crossing26,28.0,48.0,608.0,673.0,25328.0
Crossing27,28.0,32.0,376.0,370.0,16069.0
Crossing28,27.0,70.0,1046.0,725.0,31903.0
Crossing29,26.0,78.0,914.0,974.0,40686.0
Crossing30,25.0,91.0,2451.0,929.0,37661.0
Crossing31,25.0,8.0,97.0,169.0,21498.0
Crossing32,25.0,82.0,1008.0,782.0,28677.0
Crossing33,23.0,61.0,983.0,540.0,24902.0
Crossing34,23.0,60.0,767.0,873.0,31571.0
Crossing35,23.0,26.0,321.0,365.0,15175.0
Crossing36,23.0,7.0,146.0,118.0,10830.0
Crossing37,22.0,7.0,93.0,116.0,9967.0
Crossing38,22.0,3.0,25.0,264.0,14518.0
Crossing39,22.0,29.0,957.0,247.0,15401.0
Crossing40,22.0,52.0,634.0,524.0,27773.0
Crossing41,21.0,68.0,785.0,711.0,30101.0
Crossing42,21.0,1.0,18.0,95.0,9140.0
Crossing43,21.0,3.0,103.0,272.0,13325.0
Crossing44,20.0,5.0,34.0,108.0,8997.0
Crossing45,20.0,28.0,381.0,551.0,21113.0
Crossing46,20.0,1.0,1.0,232.0,13697.0
Crossing47,19.0,4.0,38.0,92.0,10105.0
Crossing48,19.0,0.0,0.0,134.0,10294.0
Crossing49,19.0,32.0,620.0,201.0,14888.0
Crossing50,18.0,38.0,769.0,398.0,11906.0
Crossing51,18.0,6.0,124.0,93.0,9899.0
Crossing52,17.0,3.0,20.0,71.0,6109.0
Crossing53,17.0,7.0,83.0,163.0,3949.0
Crossing54,16.0,49.0,720.0,540.0,22036.0
Crossing55,16.0,4.0,38.0,83.0,8717.0
Crossing56,15.0,92.0,2381.0,596.0,30559.0
Crossing57,15.0,0.0,0.0,93.0,5145.0
Crossing58,15.0,40.0,649.0,396.0,16835.0
Crossing59,15.0,36.0,592.0,374.0,19557.0
Crossing60,15.0,0.0,0.0,223.0,10205.0
Crossing61,15.0,0.0,0.0,180.0,7768.0
Crossing62,15.0,31.0,548.0,496.0,18306.0
Crossing63,15.0,7.0,75.0,104.0,9734.0
Crossing64,15.0,18.0,177.0,237.0,14928.0
Crossing65,15.0,82.0,2354.0,588.0,26133.0
Crossing66,15.0,41.0,922.0,347.0,11840.0
Crossing67,14.0,27.0,425.0,249.0,15124.0
Crossing68,14.0,34.0,763.0,250.0,9560.0
Crossing69,14.0,44.0,519.0,341.0,13008.0
Crossing70,14.0,17.0,222.0,263.0,16918.0
Crossing71,14.0,77.0,2391.0,643.0,23027.0
Crossing72,14.0,24.0,290.0,352.0,23764.0
Crossing73,14.0,53.0,775.0,415.0,15024.0
Crossing74,13.0,9.0,46.0,130.0,5631.0
Crossing75,13.0,4.0,6.0,146.0,7323.0
Crossing76,13.0,22.0,394.0,317.0,9166.0
Crossing77,13.0,36.0,397.0,425.0,21904.0
Crossing78,13.0,12.0,142.0,155.0,11604.0
Crossing79,13.0,33.0,380.0,516.0,23186.0
Crossing80,13.0,0.0,0.0,148.0,8336.0
Crossing81,12.0,38.0,864.0,306.0,16688.0
Crossing82,12.0,27.0,698.0,199.0,6518.0
Crossing83,11.0,34.0,801.0,205.0,7733.0
Crossing84,10.0,53.0,638.0,425.0,16569.0
Crossing85,10.0,32.0,753.0,201.0,8200.0
Crossing86,10.0,18.0,209.0,228.0,9364.0
Crossing87,10.0,0.0,0.0,66.0,11197.0
Crossing88,10.0,2.0,12.0,42.0,2559.0
Crossing89,10.0,17.0,356.0,248.0,17526.0
Crossing90,9.0,6.0,67.0,192.0,6014.0
Crossing91,9.0,2.0,84.0,133.0,8097.0
Crossing92,9.0,2.0,84.0,99.0,4891.0
Crossing93,8.0,9.0,79.0,133.0,4876.0
Crossing94,6.0,20.0,264.0,315.0,13130.0

Crossing-All,626.0,489.0,9239.0,7409.0,314094.0
