IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
ModularityViolation1,125.0,253.0,5123.0,2550.0,97081.0
ModularityViolation2,111.0,7.0,113.0,897.0,48039.0
ModularityViolation3,107.0,125.0,2216.0,1880.0,66879.0
ModularityViolation4,104.0,125.0,2038.0,1994.0,70886.0
ModularityViolation5,97.0,177.0,3988.0,1620.0,60234.0
ModularityViolation6,91.0,14.0,231.0,397.0,32386.0
ModularityViolation7,89.0,14.0,231.0,391.0,31190.0
ModularityViolation8,89.0,117.0,1723.0,1395.0,60205.0
ModularityViolation9,87.0,103.0,1287.0,1608.0,58506.0
ModularityViolation10,86.0,6.0,30.0,746.0,37401.0
ModularityViolation11,85.0,5.0,107.0,623.0,31064.0
ModularityViolation12,85.0,74.0,1021.0,1416.0,43145.0
ModularityViolation13,75.0,44.0,679.0,1170.0,37517.0
ModularityViolation14,71.0,97.0,1262.0,1102.0,47645.0
ModularityViolation15,68.0,4.0,88.0,511.0,29422.0
ModularityViolation16,68.0,111.0,1671.0,1158.0,50930.0
ModularityViolation17,64.0,155.0,3336.0,1523.0,54071.0
ModularityViolation18,59.0,68.0,1225.0,1080.0,43412.0
ModularityViolation19,57.0,42.0,744.0,673.0,40312.0
ModularityViolation20,57.0,84.0,1192.0,1196.0,36418.0
ModularityViolation21,56.0,41.0,779.0,1041.0,30388.0
ModularityViolation22,56.0,71.0,1170.0,1016.0,39096.0
ModularityViolation23,56.0,57.0,943.0,709.0,43502.0
ModularityViolation24,50.0,71.0,1052.0,811.0,37220.0
ModularityViolation25,49.0,88.0,1758.0,1258.0,43129.0
ModularityViolation26,48.0,67.0,956.0,896.0,40700.0
ModularityViolation27,47.0,71.0,922.0,985.0,52667.0
ModularityViolation28,45.0,56.0,998.0,786.0,42629.0
ModularityViolation29,45.0,7.0,98.0,203.0,10040.0
ModularityViolation30,43.0,31.0,395.0,712.0,28542.0
ModularityViolation31,43.0,36.0,421.0,823.0,28507.0
ModularityViolation32,42.0,33.0,421.0,571.0,23397.0
ModularityViolation33,39.0,50.0,736.0,528.0,24964.0
ModularityViolation34,35.0,66.0,953.0,722.0,23925.0
ModularityViolation35,35.0,66.0,752.0,760.0,28235.0
ModularityViolation36,34.0,1.0,2.0,444.0,24732.0
ModularityViolation37,31.0,45.0,503.0,618.0,24991.0
ModularityViolation38,30.0,9.0,101.0,219.0,5244.0
ModularityViolation39,29.0,87.0,2741.0,676.0,21287.0
ModularityViolation40,28.0,3.0,23.0,120.0,3891.0
ModularityViolation41,23.0,10.0,101.0,394.0,13453.0
ModularityViolation42,22.0,15.0,248.0,311.0,4958.0
ModularityViolation43,21.0,23.0,304.0,321.0,8018.0
ModularityViolation44,20.0,16.0,266.0,315.0,11336.0
ModularityViolation45,20.0,12.0,197.0,270.0,4915.0
ModularityViolation46,19.0,80.0,2428.0,419.0,14409.0
ModularityViolation47,19.0,25.0,869.0,402.0,12509.0
ModularityViolation48,19.0,45.0,1015.0,537.0,17701.0
ModularityViolation49,18.0,22.0,398.0,299.0,8376.0
ModularityViolation50,18.0,2.0,12.0,113.0,14767.0
ModularityViolation51,17.0,0.0,0.0,81.0,2597.0
ModularityViolation52,17.0,4.0,128.0,102.0,2167.0
ModularityViolation53,16.0,4.0,59.0,80.0,1905.0
ModularityViolation54,15.0,4.0,59.0,85.0,1868.0
ModularityViolation55,15.0,0.0,0.0,82.0,3919.0
ModularityViolation56,15.0,6.0,132.0,257.0,8916.0
ModularityViolation57,14.0,21.0,389.0,287.0,8322.0
ModularityViolation58,12.0,7.0,125.0,171.0,4898.0
ModularityViolation59,11.0,19.0,274.0,259.0,7524.0
ModularityViolation60,10.0,0.0,0.0,31.0,2627.0
ModularityViolation61,9.0,11.0,201.0,195.0,5766.0
ModularityViolation62,9.0,3.0,107.0,42.0,848.0
ModularityViolation63,8.0,7.0,79.0,99.0,3022.0
ModularityViolation64,7.0,0.0,0.0,16.0,820.0
ModularityViolation65,6.0,3.0,41.0,58.0,1935.0
ModularityViolation66,6.0,8.0,236.0,55.0,1537.0
ModularityViolation67,6.0,9.0,111.0,100.0,3045.0
ModularityViolation68,5.0,4.0,34.0,30.0,1357.0
ModularityViolation69,4.0,1.0,30.0,21.0,549.0
ModularityViolation70,4.0,0.0,0.0,13.0,73.0
ModularityViolation71,4.0,1.0,1.0,61.0,1599.0
ModularityViolation72,4.0,3.0,49.0,54.0,1197.0
ModularityViolation73,4.0,3.0,33.0,38.0,1705.0
ModularityViolation74,4.0,5.0,103.0,68.0,2797.0
ModularityViolation75,3.0,1.0,2.0,34.0,2212.0
ModularityViolation76,3.0,1.0,11.0,33.0,2168.0
ModularityViolation77,3.0,0.0,0.0,6.0,108.0
ModularityViolation78,3.0,5.0,47.0,32.0,1228.0
ModularityViolation79,3.0,1.0,20.0,10.0,463.0
ModularityViolation80,3.0,0.0,0.0,10.0,28.0
ModularityViolation81,3.0,0.0,0.0,14.0,395.0
ModularityViolation82,3.0,2.0,33.0,38.0,848.0
ModularityViolation83,2.0,0.0,0.0,5.0,12.0
ModularityViolation84,2.0,1.0,4.0,43.0,2344.0
ModularityViolation85,2.0,0.0,0.0,8.0,46.0
ModularityViolation86,2.0,0.0,0.0,7.0,45.0
ModularityViolation87,2.0,2.0,13.0,4.0,237.0
ModularityViolation88,2.0,1.0,25.0,16.0,151.0
ModularityViolation89,2.0,4.0,14.0,41.0,4461.0
ModularityViolation90,2.0,0.0,0.0,6.0,489.0
ModularityViolation91,2.0,5.0,103.0,54.0,1409.0
ModularityViolation92,2.0,7.0,66.0,36.0,1550.0
ModularityViolation93,2.0,0.0,0.0,22.0,644.0
ModularityViolation94,2.0,0.0,0.0,13.0,549.0
ModularityViolation95,2.0,0.0,0.0,10.0,217.0
ModularityViolation96,2.0,1.0,4.0,5.0,252.0
ModularityViolation97,2.0,0.0,0.0,11.0,255.0
ModularityViolation98,2.0,0.0,0.0,8.0,181.0
ModularityViolation99,2.0,0.0,0.0,14.0,1203.0
ModularityViolation100,2.0,0.0,0.0,14.0,372.0
ModularityViolation101,2.0,0.0,0.0,22.0,280.0
ModularityViolation102,2.0,0.0,0.0,6.0,417.0
ModularityViolation103,2.0,0.0,0.0,7.0,18.0

ModularityViolation-All,933.0,548.0,10080.0,9145.0,379858.0
