IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
PackageCycle1,44.0,5.0,68.0,154.0,8281.0
PackageCycle2,43.0,5.0,54.0,176.0,16917.0
PackageCycle3,29.0,21.0,205.0,320.0,17130.0
PackageCycle4,25.0,3.0,11.0,121.0,1785.0
PackageCycle5,24.0,90.0,2441.0,652.0,28372.0
PackageCycle6,23.0,18.0,266.0,282.0,14869.0
PackageCycle7,22.0,31.0,350.0,411.0,19632.0
PackageCycle8,18.0,2.0,21.0,108.0,1742.0
PackageCycle9,18.0,43.0,590.0,507.0,19304.0
PackageCycle10,17.0,2.0,33.0,77.0,1419.0
PackageCycle11,17.0,1.0,2.0,80.0,12392.0
PackageCycle12,17.0,3.0,25.0,203.0,12430.0
PackageCycle13,17.0,2.0,84.0,136.0,5911.0
PackageCycle14,16.0,63.0,781.0,586.0,25504.0
PackageCycle15,16.0,37.0,892.0,261.0,9359.0
PackageCycle16,15.0,0.0,0.0,163.0,9232.0
PackageCycle17,15.0,0.0,0.0,109.0,8482.0
PackageCycle18,15.0,4.0,27.0,109.0,1762.0
PackageCycle19,14.0,2.0,14.0,104.0,1551.0
PackageCycle20,13.0,53.0,1052.0,465.0,21056.0
PackageCycle21,11.0,5.0,108.0,173.0,12387.0
PackageCycle22,11.0,3.0,25.0,135.0,8041.0
PackageCycle23,11.0,18.0,194.0,110.0,10117.0
PackageCycle24,10.0,0.0,0.0,118.0,5686.0
PackageCycle25,9.0,27.0,384.0,407.0,18549.0
PackageCycle26,9.0,25.0,287.0,284.0,10726.0
PackageCycle27,9.0,0.0,0.0,167.0,9985.0
PackageCycle28,8.0,5.0,28.0,80.0,3995.0
PackageCycle29,8.0,0.0,0.0,97.0,5370.0
PackageCycle30,8.0,7.0,161.0,86.0,3935.0
PackageCycle31,8.0,26.0,304.0,266.0,11421.0
PackageCycle32,7.0,0.0,0.0,39.0,9917.0
PackageCycle33,7.0,4.0,24.0,75.0,2778.0
PackageCycle34,7.0,0.0,0.0,75.0,2939.0
PackageCycle35,6.0,7.0,38.0,179.0,6946.0
PackageCycle36,6.0,6.0,111.0,133.0,7222.0
PackageCycle37,6.0,1.0,5.0,71.0,1492.0
PackageCycle38,6.0,4.0,20.0,140.0,6691.0
PackageCycle39,6.0,23.0,299.0,304.0,13436.0
PackageCycle40,6.0,21.0,279.0,297.0,13764.0
PackageCycle41,6.0,4.0,24.0,51.0,2679.0
PackageCycle42,5.0,6.0,105.0,122.0,5451.0
PackageCycle43,5.0,18.0,313.0,220.0,7807.0
PackageCycle44,5.0,1.0,5.0,80.0,1444.0
PackageCycle45,5.0,0.0,0.0,12.0,126.0
PackageCycle46,5.0,0.0,0.0,68.0,5642.0
PackageCycle47,5.0,8.0,120.0,112.0,4080.0
PackageCycle48,5.0,0.0,0.0,30.0,965.0
PackageCycle49,5.0,0.0,0.0,13.0,368.0
PackageCycle50,5.0,24.0,231.0,254.0,8870.0
PackageCycle51,4.0,2.0,55.0,74.0,1204.0
PackageCycle52,4.0,5.0,41.0,17.0,1298.0
PackageCycle53,4.0,0.0,0.0,11.0,926.0
PackageCycle54,4.0,6.0,44.0,94.0,1869.0
PackageCycle55,4.0,3.0,25.0,86.0,1747.0
PackageCycle56,4.0,20.0,207.0,187.0,7221.0
PackageCycle57,3.0,2.0,33.0,40.0,865.0
PackageCycle58,3.0,26.0,320.0,227.0,9825.0
PackageCycle59,3.0,8.0,68.0,25.0,1813.0
PackageCycle60,3.0,3.0,61.0,19.0,694.0
PackageCycle61,3.0,3.0,11.0,48.0,1847.0
PackageCycle62,3.0,7.0,46.0,69.0,1754.0
PackageCycle63,3.0,2.0,20.0,35.0,940.0
PackageCycle64,2.0,4.0,128.0,45.0,1185.0
PackageCycle65,2.0,0.0,0.0,31.0,1368.0
PackageCycle66,2.0,6.0,49.0,9.0,1505.0
PackageCycle67,2.0,0.0,0.0,15.0,907.0
PackageCycle68,2.0,25.0,246.0,270.0,9856.0

PackageCycle-All,437.0,328.0,6089.0,4392.0,190886.0
