IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
UnstableInterface1,210.0,232.0,3164.0,3468.0,141413.0
UnstableInterface2,174.0,302.0,6075.0,3504.0,130707.0
UnstableInterface3,162.0,268.0,5410.0,2958.0,111331.0
UnstableInterface4,143.0,259.0,5474.0,2868.0,109934.0
UnstableInterface5,141.0,281.0,5566.0,2926.0,111604.0
UnstableInterface6,136.0,180.0,2346.0,2325.0,92898.0
UnstableInterface7,114.0,7.0,113.0,985.0,52469.0
UnstableInterface8,112.0,44.0,473.0,1380.0,66666.0
UnstableInterface9,109.0,7.0,113.0,952.0,51019.0
UnstableInterface10,107.0,163.0,2602.0,2384.0,92572.0
UnstableInterface11,101.0,223.0,4691.0,2199.0,87819.0
UnstableInterface12,100.0,7.0,113.0,888.0,48359.0
UnstableInterface13,99.0,190.0,2818.0,2090.0,91005.0
UnstableInterface14,99.0,7.0,113.0,859.0,45879.0
UnstableInterface15,98.0,7.0,113.0,869.0,46709.0
UnstableInterface16,98.0,7.0,113.0,869.0,46709.0
UnstableInterface17,97.0,14.0,231.0,437.0,33521.0
UnstableInterface18,97.0,7.0,113.0,864.0,45967.0
UnstableInterface19,93.0,14.0,231.0,409.0,32662.0
UnstableInterface20,93.0,14.0,231.0,410.0,32725.0
UnstableInterface21,92.0,14.0,231.0,402.0,32497.0
UnstableInterface22,92.0,14.0,231.0,402.0,32497.0
UnstableInterface23,92.0,124.0,1653.0,1689.0,70960.0
UnstableInterface24,92.0,14.0,231.0,402.0,32497.0
UnstableInterface25,92.0,14.0,231.0,402.0,32497.0
UnstableInterface26,92.0,14.0,231.0,402.0,32497.0
UnstableInterface27,92.0,14.0,231.0,402.0,32497.0
UnstableInterface28,92.0,14.0,231.0,402.0,32497.0
UnstableInterface29,92.0,14.0,231.0,402.0,32497.0
UnstableInterface30,92.0,7.0,113.0,821.0,44331.0
UnstableInterface31,92.0,201.0,4211.0,2178.0,74253.0
UnstableInterface32,92.0,14.0,231.0,402.0,32497.0
UnstableInterface33,92.0,14.0,231.0,402.0,32497.0
UnstableInterface34,92.0,14.0,231.0,402.0,32497.0
UnstableInterface35,92.0,14.0,231.0,402.0,32497.0
UnstableInterface36,89.0,7.0,113.0,775.0,42133.0
UnstableInterface37,88.0,7.0,113.0,765.0,41827.0
UnstableInterface38,88.0,7.0,113.0,765.0,41827.0
UnstableInterface39,85.0,212.0,4479.0,2240.0,85503.0
UnstableInterface40,81.0,161.0,1905.0,1913.0,83225.0
UnstableInterface41,78.0,148.0,2632.0,2002.0,75939.0
UnstableInterface42,78.0,129.0,1846.0,1481.0,72768.0
UnstableInterface43,76.0,127.0,1703.0,1572.0,59279.0
UnstableInterface44,76.0,90.0,1449.0,1289.0,56830.0
UnstableInterface45,72.0,115.0,1462.0,1700.0,62209.0
UnstableInterface46,67.0,135.0,1757.0,1558.0,69056.0
UnstableInterface47,60.0,45.0,521.0,916.0,42966.0
UnstableInterface48,59.0,74.0,843.0,1079.0,45165.0
UnstableInterface49,54.0,56.0,610.0,624.0,30391.0
UnstableInterface50,48.0,76.0,899.0,1023.0,45242.0
UnstableInterface51,48.0,128.0,1806.0,1481.0,55768.0
UnstableInterface52,47.0,94.0,1567.0,1036.0,45703.0
UnstableInterface53,46.0,94.0,1846.0,1080.0,45079.0
UnstableInterface54,44.0,84.0,980.0,1285.0,47491.0
UnstableInterface55,43.0,58.0,619.0,853.0,34765.0
UnstableInterface56,39.0,34.0,426.0,770.0,25786.0
UnstableInterface57,39.0,64.0,790.0,880.0,31773.0
UnstableInterface58,38.0,21.0,230.0,405.0,26568.0
UnstableInterface59,38.0,26.0,352.0,459.0,25072.0
UnstableInterface60,36.0,73.0,969.0,1096.0,40242.0
UnstableInterface61,36.0,82.0,1774.0,905.0,29084.0
UnstableInterface62,35.0,11.0,116.0,265.0,7316.0
UnstableInterface63,24.0,52.0,1367.0,573.0,17905.0
UnstableInterface64,21.0,6.0,44.0,202.0,2690.0
UnstableInterface65,18.0,7.0,83.0,148.0,3510.0
UnstableInterface66,18.0,7.0,67.0,120.0,4498.0
UnstableInterface67,17.0,14.0,260.0,246.0,13376.0
UnstableInterface68,16.0,49.0,622.0,449.0,18458.0
UnstableInterface69,14.0,25.0,327.0,287.0,8478.0

UnstableInterface-All,730.0,511.0,9361.0,8126.0,337219.0
