Index,Size,Fan-in,Fan-out,CrossingCenter
Crossing1,111,87,30,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDDocument_java,
Crossing2,95,85,13,pdfbox.src.main.java.org.apache.pdfbox.cos.COSDictionary_java,
Crossing3,78,72,7,preflight.src.main.java.org.apache.pdfbox.preflight.PreflightContext_java,
Crossing4,74,70,15,xmpbox.src.main.java.org.apache.xmpbox.XMPMetadata_java,
Crossing5,58,41,26,xmpbox.src.main.java.org.apache.xmpbox.type.Types_java,
Crossing6,56,48,9,pdfbox.src.main.java.org.apache.pdfbox.cos.COSStream_java,
Crossing7,53,13,42,xmpbox.src.main.java.org.apache.xmpbox.type.TypeMapping_java,
Crossing8,49,31,18,pdfbox.src.main.java.org.apache.pdfbox.contentstream.PDFStreamEngine_java,
Crossing9,46,37,9,pdfbox.src.main.java.org.apache.pdfbox.cos.COSArray_java,
Crossing10,45,35,14,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDResources_java,
Crossing11,44,32,13,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDPage_java,
Crossing12,43,27,17,xmpbox.src.main.java.org.apache.xmpbox.schema.XMPSchema_java,
Crossing13,42,33,10,xmpbox.src.main.java.org.apache.xmpbox.type.AbstractStructuredType_java,
Crossing14,38,29,10,pdfbox.src.main.java.org.apache.pdfbox.cos.COSDocument_java,
Crossing15,38,27,14,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm_java,
Crossing16,35,23,13,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.PDStream_java,
Crossing17,32,24,12,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDField_java,
Crossing18,32,11,25,preflight.src.main.java.org.apache.pdfbox.preflight.PreflightConfiguration_java,
Crossing19,32,9,23,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDTrueTypeFont_java,
Crossing20,32,27,16,fontbox.src.main.java.org.apache.fontbox.ttf.TrueTypeFont_java,
Crossing21,32,28,4,xmpbox.src.main.java.org.apache.xmpbox.type.AbstractComplexProperty_java,
