Index,Size
ModularityViolation1,125
ModularityViolation2,111
ModularityViolation3,107
ModularityViolation4,104
ModularityViolation5,97
ModularityViolation6,91
ModularityViolation7,89
ModularityViolation8,89
ModularityViolation9,87
ModularityViolation10,86
ModularityViolation11,85
ModularityViolation12,85
ModularityViolation13,75
ModularityViolation14,71
ModularityViolation15,68
ModularityViolation16,68
ModularityViolation17,64
ModularityViolation18,59
ModularityViolation19,57
ModularityViolation20,57
ModularityViolation21,56
ModularityViolation22,56
ModularityViolation23,56
ModularityViolation24,50
ModularityViolation25,49
ModularityViolation26,48
ModularityViolation27,47
ModularityViolation28,45
ModularityViolation29,45
ModularityViolation30,43
ModularityViolation31,43
ModularityViolation32,42
ModularityViolation33,39
ModularityViolation34,35
ModularityViolation35,35
ModularityViolation36,34
ModularityViolation37,31
ModularityViolation38,30
ModularityViolation39,29
ModularityViolation40,28
ModularityViolation41,23
ModularityViolation42,22
ModularityViolation43,21
ModularityViolation44,20
ModularityViolation45,20
ModularityViolation46,19
ModularityViolation47,19
ModularityViolation48,19
ModularityViolation49,18
ModularityViolation50,18
ModularityViolation51,17
ModularityViolation52,17
ModularityViolation53,16
ModularityViolation54,15
ModularityViolation55,15
ModularityViolation56,15
ModularityViolation57,14
ModularityViolation58,12
ModularityViolation59,11
ModularityViolation60,10
ModularityViolation61,9
ModularityViolation62,9
ModularityViolation63,8
ModularityViolation64,7
ModularityViolation65,6
ModularityViolation66,6
ModularityViolation67,6
ModularityViolation68,5
ModularityViolation69,4
ModularityViolation70,4
ModularityViolation71,4
ModularityViolation72,4
ModularityViolation73,4
ModularityViolation74,4
ModularityViolation75,3
ModularityViolation76,3
ModularityViolation77,3
ModularityViolation78,3
ModularityViolation79,3
ModularityViolation80,3
ModularityViolation81,3
ModularityViolation82,3
ModularityViolation83,2
ModularityViolation84,2
ModularityViolation85,2
ModularityViolation86,2
ModularityViolation87,2
ModularityViolation88,2
ModularityViolation89,2
ModularityViolation90,2
ModularityViolation91,2
ModularityViolation92,2
ModularityViolation93,2
ModularityViolation94,2
ModularityViolation95,2
ModularityViolation96,2
ModularityViolation97,2
ModularityViolation98,2
ModularityViolation99,2
ModularityViolation100,2
ModularityViolation101,2
ModularityViolation102,2
ModularityViolation103,2

