Index,Size
UnhealthyInheritance1,99
UnhealthyInheritance2,59
UnhealthyInheritance3,34
UnhealthyInheritance4,32
UnhealthyInheritance5,30
UnhealthyInheritance6,27
UnhealthyInheritance7,26
UnhealthyInheritance8,24
UnhealthyInheritance9,23
UnhealthyInheritance10,23
UnhealthyInheritance11,23
UnhealthyInheritance12,23
UnhealthyInheritance13,22
UnhealthyInheritance14,21
UnhealthyInheritance15,21
UnhealthyInheritance16,20
UnhealthyInheritance17,20
UnhealthyInheritance18,19
UnhealthyInheritance19,16
UnhealthyInheritance20,15
UnhealthyInheritance21,14
UnhealthyInheritance22,13
UnhealthyInheritance23,12
UnhealthyInheritance24,12
UnhealthyInheritance25,12
UnhealthyInheritance26,12
UnhealthyInheritance27,11
UnhealthyInheritance28,11
UnhealthyInheritance29,11
UnhealthyInheritance30,11
UnhealthyInheritance31,10
UnhealthyInheritance32,10
UnhealthyInheritance33,10
UnhealthyInheritance34,9
UnhealthyInheritance35,9
UnhealthyInheritance36,9
UnhealthyInheritance37,9
UnhealthyInheritance38,9
UnhealthyInheritance39,9
UnhealthyInheritance40,8
UnhealthyInheritance41,8
UnhealthyInheritance42,8
UnhealthyInheritance43,8
UnhealthyInheritance44,8
UnhealthyInheritance45,8
UnhealthyInheritance46,7
UnhealthyInheritance47,7
UnhealthyInheritance48,7
UnhealthyInheritance49,7
UnhealthyInheritance50,7
UnhealthyInheritance51,7
UnhealthyInheritance52,6
UnhealthyInheritance53,6
UnhealthyInheritance54,6
UnhealthyInheritance55,6
UnhealthyInheritance56,6
UnhealthyInheritance57,6
UnhealthyInheritance58,6
UnhealthyInheritance59,5
UnhealthyInheritance60,5
UnhealthyInheritance61,5
UnhealthyInheritance62,5
UnhealthyInheritance63,5
UnhealthyInheritance64,5
UnhealthyInheritance65,5
UnhealthyInheritance66,5
UnhealthyInheritance67,5
UnhealthyInheritance68,5
UnhealthyInheritance69,5
UnhealthyInheritance70,5
UnhealthyInheritance71,5
UnhealthyInheritance72,5
UnhealthyInheritance73,5
UnhealthyInheritance74,5
UnhealthyInheritance75,4
UnhealthyInheritance76,4
UnhealthyInheritance77,4
UnhealthyInheritance78,4
UnhealthyInheritance79,4
UnhealthyInheritance80,4
UnhealthyInheritance81,4
UnhealthyInheritance82,4
UnhealthyInheritance83,4
UnhealthyInheritance84,4
UnhealthyInheritance85,4
UnhealthyInheritance86,4
UnhealthyInheritance87,4
UnhealthyInheritance88,4
UnhealthyInheritance89,3
UnhealthyInheritance90,3
UnhealthyInheritance91,3
UnhealthyInheritance92,3
UnhealthyInheritance93,3
UnhealthyInheritance94,3
UnhealthyInheritance95,3
UnhealthyInheritance96,3
UnhealthyInheritance97,3
UnhealthyInheritance98,3
UnhealthyInheritance99,3
UnhealthyInheritance100,3
UnhealthyInheritance101,3
UnhealthyInheritance102,3
UnhealthyInheritance103,3
UnhealthyInheritance104,3
UnhealthyInheritance105,3
UnhealthyInheritance106,3
UnhealthyInheritance107,3
UnhealthyInheritance108,3
UnhealthyInheritance109,3
UnhealthyInheritance110,2
UnhealthyInheritance111,2
UnhealthyInheritance112,2

