"FileName","ChangeChurn"
"migration.pdfbox.bugs_xml","111074"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniCNS-UTF8-H","38346"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniCNS-UTF32-H","38210"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniGB-UTF8-H","29162"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniJIS2004-UTF8-H","28954"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniJIS-UTF8-H","28948"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniJIS2004-UTF16-H","28896"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniJIS2004-UTF32-H","28892"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniJIS-UTF32-H","28886"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniJISX02132004-UTF32-H","28880"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniJISX0213-UTF32-H","28874"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniGB-UTF32-H","28752"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.Adobe-Japan1-UCS2","19159"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniCNS-UTF16-H","19107"
"migration.pdfbox.features_xml","18640"
"test.input.jose-lugo-test_pdf","18276"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.Adobe-CNS1-UCS2","18209"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniKS-UTF8-H","17976"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniKS-UTF32-H","17780"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniCNS-UCS2-H","16992"
"test.input.pdf_with_lots_of_fields_pdf","15690"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniJIS-UTF16-H","14445"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniGB-UTF16-H","14378"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.UniGB-UCS2-H","14321"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.Adobe-GB1-UCS2","14267"
"Resources.cmap.UCS2-B5pc","13150"
"src.main.resources.Resources.cmap.UCS2-B5pc","13150"
"Resources.cmap.UCS2-GBK-EUC","11253"
"src.main.resources.Resources.cmap.UCS2-GBK-EUC","11253"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.NonSequentialPDFParser_java","11150"
"test.input.TEST_SetCharSpacing_Error_pdf","10450"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.schema.XMPSchema_java","10090"
