"FileName","ChangeFreq"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDDocument_java","181"
"pdfbox.src.main.java.org.apache.pdfbox.rendering.PageDrawer_java","175"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.COSParser_java","129"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.NonSequentialPDFParser_java","108"
"parent.pom_xml","106"
"pom_xml","104"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.BaseParser_java","103"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDType1Font_java","101"
"pdfbox.src.main.java.org.apache.pdfbox.cos.COSName_java","100"
"pdfbox.pom_xml","93"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDTrueTypeFont_java","91"
"pdfbox.src.main.java.org.apache.pdfbox.pdfwriter.COSWriter_java","91"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.PDFParser_java","89"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDFont_java","85"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDSimpleFont_java","71"
"preflight.pom_xml","67"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.AppearanceGeneratorHelper_java","67"
"tools.src.main.java.org.apache.pdfbox.tools.PDFDebugger_java","67"
"fontbox.src.main.java.org.apache.fontbox.cff.CFFParser_java","66"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDType1CFont_java","63"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.encryption.SecurityHandler_java","63"
"pdfbox.src.main.java.org.apache.pdfbox.util.PDFStreamEngine_java","63"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDResources_java","61"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm_java","60"
"preflight.src.main.java.org.apache.pdfbox.preflight.parser.PreflightParser_java","60"
"pdfbox.src.main.java.org.apache.pdfbox.contentstream.PDFStreamEngine_java","60"
"pdfbox.src.main.java.org.apache.pdfbox.cos.COSDocument_java","58"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDType0Font_java","58"
"pdfbox.src.main.java.org.apache.pdfbox.util.PDFTextStripper_java","53"
"fontbox.pom_xml","53"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler_java","53"
"examples.src.main.java.org.apache.pdfbox.examples.signature.CreateVisibleSignature_java","52"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.PDFStreamParser_java","52"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDPage_java","52"
"build_xml","51"
"pdfbox.src.main.java.org.apache.pdfbox.cos.COSStream_java","49"
"pdfbox.src.main.java.org.apache.pdfbox.pdfviewer.PageDrawer_java","48"
