"FileName","TargetChurn"
"main.java.org.apache.felix.scr.impl.BundleComponentActivator_java","456"
"main.java.org.apache.felix.scr.impl.Activator_java","336"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.AbstractExtender_java","258"
"main.java.org.apache.felix.scr.impl.AbstractExtender_java","257"
"main.java.org.apache.felix.scr.impl.manager.SinglePrototypeRefPair_java","194"
"test.java.org.apache.felix.scr.impl.inject.AnnotationTest_java","194"
"main.java.org.apache.felix.scr.impl.manager.MultiplePrototypeRefPair_java","166"
"main.java.org.apache.felix.scr.impl.ComponentRegistry_java","164"
"main.java.org.apache.felix.scr.impl.manager.AbstractComponentManager_java","160"
"main.java.org.apache.felix.scr.impl.manager.RegionConfigurationSupport_java","157"
"main.java.org.apache.felix.scr.impl.inject.FieldHandler_java","142"
"main.java.org.apache.felix.scr.impl.runtime.ServiceComponentRuntimeImpl_java","137"
"main.java.org.apache.felix.scr.impl.manager.SingleComponentManager_java","133"
"main.java.org.apache.felix.scr.impl.helper.ConfigAdminTracker_java","125"
"test.java.org.apache.felix.scr.integration.Felix5356Test_java","125"
"main.java.org.apache.felix.scr.impl.manager.AbstractPrototypeRefPair_java","109"
"main.java.org.apache.felix.scr.impl.manager.DependencyManager_java","107"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.inject.field.FieldHandler_java","99"
"main.java.org.apache.felix.scr.impl.ComponentCommands_java","96"
"main.java.org.apache.felix.scr.impl.inject.BaseMethod_java","73"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.inject.methods.BaseMethod_java","72"
"main.java.org.apache.felix.scr.impl.inject.Annotations_java","67"
"main.java.org.apache.felix.scr.impl.ComponentCommandsScrInfo_java","67"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.ScrCommand_java","65"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.ComponentContextImpl_java","60"
"main.java.org.apache.felix.scr.impl.ComponentConverterFactory_java","58"
"test.java.org.apache.felix.scr.impl.runtime.ServiceComponentRuntimeImplTest_java","57"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.DependencyManager_java","55"
"main.java.org.apache.felix.scr.impl.manager.ComponentContextImpl_java","54"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.inject.Annotations_java","54"
"test.java.org.apache.felix.scr.integration.CircularReferenceTest_java","54"
"scr.changelog_txt","52"
"main.java.org.apache.felix.scr.impl.ScrCommand_java","51"
"scr.pom_xml","44"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.ComponentRegistry_java","43"
"main.java.org.apache.felix.scr.impl.inject.BindMethod_java","43"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.AbstractComponentManager_java","42"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.inject.methods.BindMethod_java","38"
"main.java.org.apache.felix.scr.impl.helper.ComponentServiceObjectsHelper_java","37"
"osgi-r7.scr.src.test.java.org.apache.felix.scr.integration.CircularReferenceTest_java","35"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.SingleComponentManager_java","32"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.helper.ConfigAdminTracker_java","27"
"main.java.org.apache.felix.scr.impl.ComponentActorThread_java","25"
"main.java.org.apache.felix.scr.impl.inject.ActivateMethod_java","25"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.inject.methods.ActivateMethod_java","25"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.ComponentActorThread_java","23"
"main.java.org.apache.felix.scr.impl.logger.LogServiceSupport_java","23"
"main.java.org.apache.felix.scr.impl.manager.SingleRefPair_java","21"
"scr.bnd_bnd","20"
"main.java.org.apache.felix.scr.impl.config.ScrConfigurationImpl_java","20"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.RegionConfigurationSupport_java","19"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.Activator_java","18"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.ServiceTracker_java","15"
"main.java.org.apache.felix.scr.impl.manager.ServiceTracker_java","15"
"osgi-r7.scr.pom_xml","14"
"main.java.org.apache.felix.scr.impl.manager.ComponentFactoryImpl_java","10"
"main.java.org.apache.felix.scr.impl.logger.R7LogServiceLogger_java","9"
"main.java.org.apache.felix.scr.impl.manager.ScrConfiguration_java","9"
"main.java.org.apache.felix.scr.impl.manager.RefPair_java","8"
"main.java.org.apache.felix.scr.impl.inject.ComponentConstructor_java","8"
"main.java.org.apache.felix.scr.impl.manager.ConfigurableComponentHolder_java","8"
"main.java.org.apache.felix.scr.impl.inject.methods.BindMethod_java","7"
"main.java.org.osgi.service.log.LoggerFactory_java","6"
"main.java.org.apache.felix.scr.impl.logger.StdOutLogger_java","6"
"test.java.org.apache.felix.scr.impl.logger.MockScrLogger_java","6"
"osgi-r7.scr.bnd_bnd","5"
"main.java.org.apache.felix.scr.impl.logger.R6LogServiceLogger_java","5"
"main.java.org.apache.felix.scr.impl.logger.AbstractLogger_java","5"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.runtime.ServiceComponentRuntimeImpl_java","5"
"test.java.org.apache.felix.scr.integration.ComponentTestBase_java","4"
"test.java.org.apache.felix.scr.impl.manager.ConfiguredComponentHolderTest_java","4"
"test.resources.integration_test_circular_xml","4"
"osgi-r7.scr.src.test.resources.integration_test_circular_xml","4"
"main.java.org.apache.felix.scr.impl.logger.BundleLogger_java","4"
"main.java.org.apache.felix.scr.impl.config.ScrMetaTypeProvider_java","4"
