"FileName","TargetCommitFreq"
"scr.changelog_txt","12"
"main.java.org.apache.felix.scr.impl.manager.SingleComponentManager_java","7"
"main.java.org.apache.felix.scr.impl.manager.DependencyManager_java","6"
"main.java.org.apache.felix.scr.impl.manager.AbstractComponentManager_java","6"
"scr.bnd_bnd","6"
"main.java.org.apache.felix.scr.impl.manager.RegionConfigurationSupport_java","6"
"main.java.org.apache.felix.scr.impl.Activator_java","5"
"scr.pom_xml","5"
"main.java.org.apache.felix.scr.impl.manager.MultiplePrototypeRefPair_java","5"
"main.java.org.apache.felix.scr.impl.runtime.ServiceComponentRuntimeImpl_java","5"
"main.java.org.apache.felix.scr.impl.inject.FieldHandler_java","3"
"main.java.org.apache.felix.scr.impl.logger.R7LogServiceLogger_java","3"
"main.java.org.apache.felix.scr.impl.manager.SinglePrototypeRefPair_java","3"
"main.java.org.apache.felix.scr.impl.ComponentRegistry_java","3"
"main.java.org.apache.felix.scr.impl.BundleComponentActivator_java","3"
"test.java.org.apache.felix.scr.impl.inject.AnnotationTest_java","3"
"main.java.org.apache.felix.scr.impl.inject.Annotations_java","3"
"main.java.org.apache.felix.scr.impl.config.ScrConfigurationImpl_java","2"
"main.java.org.apache.felix.scr.impl.manager.RefPair_java","2"
"main.java.org.apache.felix.scr.impl.helper.ConfigAdminTracker_java","2"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.AbstractComponentManager_java","2"
"test.java.org.apache.felix.scr.integration.ComponentTestBase_java","2"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.DependencyManager_java","2"
"main.java.org.apache.felix.scr.impl.ComponentCommands_java","2"
"osgi-r7.scr.bnd_bnd","2"
"osgi-r7.scr.pom_xml","2"
"main.java.org.apache.felix.scr.impl.ComponentActorThread_java","2"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.ComponentContextImpl_java","2"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.inject.field.FieldHandler_java","2"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.SingleComponentManager_java","2"
"main.java.org.apache.felix.scr.impl.inject.ComponentConstructor_java","2"
"main.java.org.apache.felix.scr.impl.manager.SingleRefPair_java","2"
"main.java.org.apache.felix.scr.impl.helper.ComponentServiceObjectsHelper_java","2"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.RegionConfigurationSupport_java","2"
"main.java.org.apache.felix.scr.impl.inject.methods.BindMethod_java","2"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.manager.ServiceTracker_java","1"
"main.java.org.osgi.service.log.LoggerFactory_java","1"
"test.java.org.apache.felix.scr.impl.runtime.ServiceComponentRuntimeImplTest_java","1"
"main.java.org.apache.felix.scr.impl.manager.AbstractPrototypeRefPair_java","1"
"test.java.org.apache.felix.scr.integration.Felix5356Test_java","1"
"main.java.org.apache.felix.scr.impl.AbstractExtender_java","1"
"main.java.org.apache.felix.scr.impl.logger.R6LogServiceLogger_java","1"
"main.java.org.apache.felix.scr.impl.manager.ComponentContextImpl_java","1"
"test.java.org.apache.felix.scr.impl.manager.ConfiguredComponentHolderTest_java","1"
"main.java.org.apache.felix.scr.impl.inject.ValueUtils_java","1"
"main.java.org.apache.felix.scr.impl.inject.ActivateMethod_java","1"
"main.java.org.apache.felix.scr.impl.manager.ComponentFactoryImpl_java","1"
"main.java.org.apache.felix.scr.impl.logger.StdOutLogger_java","1"
"main.java.org.apache.felix.scr.impl.manager.ConfigurableComponentHolder_java","1"
"main.java.org.osgi.service.log.Logger_java","1"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.inject.methods.BaseMethod_java","1"
"main.java.org.apache.felix.scr.impl.ComponentConverterFactory_java","1"
"main.java.org.apache.felix.scr.impl.manager.ServiceFactoryComponentManager_java","1"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.logger.AbstractLogger_java","1"
"test.java.org.apache.felix.scr.impl.logger.MockScrLogger_java","1"
"main.java.org.apache.felix.scr.impl.ComponentCommandsScrInfo_java","1"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.ComponentActorThread_java","1"
"main.java.org.apache.felix.scr.impl.logger.InternalLogger_java","1"
"main.java.org.apache.felix.scr.impl.logger.AbstractLogger_java","1"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.AbstractExtender_java","1"
"test.java.org.apache.felix.scr.impl.manager.SingleComponentManagerTest_java","1"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.runtime.ServiceComponentRuntimeImpl_java","1"
"main.java.org.apache.felix.scr.impl.inject.BaseMethod_java","1"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.helper.ConfigAdminTracker_java","1"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.Activator_java","1"
"main.java.org.apache.felix.scr.impl.manager.ServiceTracker_java","1"
"osgi-r7.scr.src.test.java.org.apache.felix.scr.integration.CircularReferenceTest_java","1"
"test.resources.integration_test_circular_xml","1"
"osgi-r7.scr.src.main.java.org.apache.felix.scr.impl.inject.methods.BindMethod_java","1"
"osgi-r7.scr.src.test.resources.integration_test_circular_xml","1"
