Index,Size
ModularityViolation1,125
ModularityViolation2,125
ModularityViolation3,116
ModularityViolation4,114
ModularityViolation5,111
ModularityViolation6,99
ModularityViolation7,91
ModularityViolation8,91
ModularityViolation9,89
ModularityViolation10,89
ModularityViolation11,87
ModularityViolation12,85
ModularityViolation13,79
ModularityViolation14,75
ModularityViolation15,74
ModularityViolation16,71
ModularityViolation17,68
ModularityViolation18,64
ModularityViolation19,59
ModularityViolation20,59
ModularityViolation21,58
ModularityViolation22,57
ModularityViolation23,57
ModularityViolation24,57
ModularityViolation25,56
ModularityViolation26,54
ModularityViolation27,50
ModularityViolation28,50
ModularityViolation29,49
ModularityViolation30,49
ModularityViolation31,46
ModularityViolation32,45
ModularityViolation33,45
ModularityViolation34,44
ModularityViolation35,43
ModularityViolation36,43
ModularityViolation37,35
ModularityViolation38,35
ModularityViolation39,34
ModularityViolation40,31
ModularityViolation41,30
ModularityViolation42,29
ModularityViolation43,26
ModularityViolation44,24
ModularityViolation45,22
ModularityViolation46,22
ModularityViolation47,21
ModularityViolation48,20
ModularityViolation49,20
ModularityViolation50,19
ModularityViolation51,19
ModularityViolation52,19
ModularityViolation53,17
ModularityViolation54,17
ModularityViolation55,17
ModularityViolation56,16
ModularityViolation57,15
ModularityViolation58,15
ModularityViolation59,14
ModularityViolation60,13
ModularityViolation61,12
ModularityViolation62,11
ModularityViolation63,10
ModularityViolation64,10
ModularityViolation65,9
ModularityViolation66,9
ModularityViolation67,9
ModularityViolation68,8
ModularityViolation69,7
ModularityViolation70,6
ModularityViolation71,6
ModularityViolation72,6
ModularityViolation73,6
ModularityViolation74,5
ModularityViolation75,5
ModularityViolation76,4
ModularityViolation77,4
ModularityViolation78,4
ModularityViolation79,4
ModularityViolation80,4
ModularityViolation81,3
ModularityViolation82,3
ModularityViolation83,3
ModularityViolation84,3
ModularityViolation85,3
ModularityViolation86,3
ModularityViolation87,3
ModularityViolation88,3
ModularityViolation89,3
ModularityViolation90,3
ModularityViolation91,3
ModularityViolation92,3
ModularityViolation93,3
ModularityViolation94,2
ModularityViolation95,2
ModularityViolation96,2
ModularityViolation97,2
ModularityViolation98,2
ModularityViolation99,2
ModularityViolation100,2
ModularityViolation101,2
ModularityViolation102,2
ModularityViolation103,2
ModularityViolation104,2
ModularityViolation105,2
ModularityViolation106,2
ModularityViolation107,2
ModularityViolation108,2
ModularityViolation109,2
ModularityViolation110,2
ModularityViolation111,2
ModularityViolation112,2
ModularityViolation113,2

