Index,Size
PackageCycle1,44
PackageCycle2,43
PackageCycle3,29
PackageCycle4,25
PackageCycle5,24
PackageCycle6,23
PackageCycle7,22
PackageCycle8,18
PackageCycle9,18
PackageCycle10,17
PackageCycle11,17
PackageCycle12,17
PackageCycle13,17
PackageCycle14,16
PackageCycle15,16
PackageCycle16,15
PackageCycle17,15
PackageCycle18,15
PackageCycle19,14
PackageCycle20,13
PackageCycle21,11
PackageCycle22,11
PackageCycle23,11
PackageCycle24,10
PackageCycle25,9
PackageCycle26,9
PackageCycle27,9
PackageCycle28,8
PackageCycle29,8
PackageCycle30,8
PackageCycle31,8
PackageCycle32,7
PackageCycle33,7
PackageCycle34,7
PackageCycle35,6
PackageCycle36,6
PackageCycle37,6
PackageCycle38,6
PackageCycle39,6
PackageCycle40,6
PackageCycle41,6
PackageCycle42,5
PackageCycle43,5
PackageCycle44,5
PackageCycle45,5
PackageCycle46,5
PackageCycle47,5
PackageCycle48,5
PackageCycle49,5
PackageCycle50,5
PackageCycle51,4
PackageCycle52,4
PackageCycle53,4
PackageCycle54,4
PackageCycle55,4
PackageCycle56,4
PackageCycle57,3
PackageCycle58,3
PackageCycle59,3
PackageCycle60,3
PackageCycle61,3
PackageCycle62,3
PackageCycle63,3
PackageCycle64,2
PackageCycle65,2
PackageCycle66,2
PackageCycle67,2
PackageCycle68,2

