Index,Size,UnstableInterface
UnstableInterface1,211,pdfbox.src.main.java.org.apache.pdfbox.cos.COSName_java
UnstableInterface2,174,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDDocument_java
UnstableInterface3,171,pdfbox.src.main.java.org.apache.pdfbox.cos.COSStream_java
UnstableInterface4,145,pdfbox.src.main.java.org.apache.pdfbox.cos.COSDocument_java
UnstableInterface5,143,pdfbox.src.main.java.org.apache.pdfbox.cos.COSDictionary_java
UnstableInterface6,141,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDResources_java
UnstableInterface7,116,preflight.src.main.java.org.apache.pdfbox.preflight.PreflightContext_java
UnstableInterface8,112,preflight.src.main.java.org.apache.pdfbox.preflight.annotation.AnnotationValidator_java
UnstableInterface9,109,preflight.src.main.java.org.apache.pdfbox.preflight.PreflightConstants_java
UnstableInterface10,108,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDPage_java
UnstableInterface11,106,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.PDStream_java
UnstableInterface12,100,preflight.src.main.java.org.apache.pdfbox.preflight.ValidationResult_java
UnstableInterface13,100,pdfbox.src.main.java.org.apache.pdfbox.contentstream.PDFStreamEngine_java
UnstableInterface14,100,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDSimpleFont_java
UnstableInterface15,99,preflight.src.main.java.org.apache.pdfbox.preflight.utils.COSUtils_java
UnstableInterface16,99,preflight.src.main.java.org.apache.pdfbox.preflight.PreflightConfiguration_java
UnstableInterface17,98,preflight.src.main.java.org.apache.pdfbox.preflight.PreflightPath_java
UnstableInterface18,98,preflight.src.main.java.org.apache.pdfbox.preflight.action.ActionManagerFactory_java
UnstableInterface19,97,xmpbox.src.main.java.org.apache.xmpbox.type.TypeMapping_java
UnstableInterface20,93,xmpbox.src.main.java.org.apache.xmpbox.XMPMetadata_java
UnstableInterface21,93,xmpbox.src.main.java.org.apache.xmpbox.schema.XMPSchema_java
UnstableInterface22,92,xmpbox.src.main.java.org.apache.xmpbox.type.BadFieldValueException_java
UnstableInterface23,92,xmpbox.src.main.java.org.apache.xmpbox.type.PropertyType_java
UnstableInterface24,92,pdfbox.src.main.java.org.apache.pdfbox.cos.COSArray_java
UnstableInterface25,92,xmpbox.src.main.java.org.apache.xmpbox.type.TextType_java
UnstableInterface26,92,xmpbox.src.main.java.org.apache.xmpbox.type.AbstractStructuredType_java
UnstableInterface27,92,xmpbox.src.main.java.org.apache.xmpbox.type.StructuredType_java
UnstableInterface28,92,xmpbox.src.main.java.org.apache.xmpbox.type.IntegerType_java
UnstableInterface29,92,xmpbox.src.main.java.org.apache.xmpbox.type.Types_java
UnstableInterface30,92,xmpbox.src.main.java.org.apache.xmpbox.type.AbstractComplexProperty_java
UnstableInterface31,92,preflight.src.main.java.org.apache.pdfbox.preflight.action.AbstractActionManager_java
UnstableInterface32,92,xmpbox.src.main.java.org.apache.xmpbox.type.Cardinality_java
UnstableInterface33,92,xmpbox.src.main.java.org.apache.xmpbox.type.AbstractField_java
UnstableInterface34,92,xmpbox.src.main.java.org.apache.xmpbox.type.ArrayProperty_java
UnstableInterface35,92,xmpbox.src.main.java.org.apache.xmpbox.type.AbstractSimpleProperty_java
UnstableInterface36,89,preflight.src.main.java.org.apache.pdfbox.preflight.utils.ContextHelper_java
UnstableInterface37,88,preflight.src.main.java.org.apache.pdfbox.preflight.exception.ValidationException_java
UnstableInterface38,88,preflight.src.main.java.org.apache.pdfbox.preflight.process.AbstractProcess_java
UnstableInterface39,87,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject_java
UnstableInterface40,82,fontbox.src.main.java.org.apache.fontbox.ttf.TrueTypeFont_java
UnstableInterface41,81,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDFont_java
UnstableInterface42,80,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm_java
UnstableInterface43,76,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace_java
UnstableInterface44,76,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.COSArrayList_java
UnstableInterface45,74,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.form.PDFormXObject_java
UnstableInterface46,69,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDType0Font_java
UnstableInterface47,60,preflight.src.main.java.org.apache.pdfbox.preflight.font.container.FontContainer_java
UnstableInterface48,60,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.fdf.FDFAnnotation_java
UnstableInterface49,59,pdfbox.src.main.java.org.apache.pdfbox.cos.COSBase_java
UnstableInterface50,50,pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation_java
UnstableInterface51,48,pdfbox.src.main.java.org.apache.pdfbox.cos.COSString_java
